date,cases
20160101,205
20160102,209
20160103,203
20160104,214
20160105,531
20160106,187
20160107,111
20160108,542
20160111,985
20160112,315
20160113,394
20160114,472
20160115,496
20160116,546
20160118,818
20160119,470
20160120,535
20160121,645
20160122,597
20160123,468
20160124,341
20160125,271
20160126,336
20160127,382
20160129,746
20160131,261
20160201,536
20160202,302
20160203,180
20160204,154
20160205,155
20160206,123
20160207,3
20160215,663
20160216,176
20160217,185
20160218,218
20160219,272
20160220,345
20160221,225
20160222,209
20160223,258
20160224,298
20160225,295
20160226,306
20160229,820
21060301,318
21060302,327
21060303,304
21060304,291
20160308,1126
20160310,599
20160311,316
20160315,1170
20160316,264
20160317,309
20160318,263
20160319,279
20160320,241
20160321,227
20160322,324
20160323,310
20160324,336
20160325,331
20160327,262
20160328,601
20160329,335
20160330,341
20160331,421
20160401,447
20160402,405
20160403,315
20160404,321
20160405,338
20160406,402
20160407,474
20160408,402
20160409,482
20160410,411
20160411,398
20160412,452
20160413,548
20160414,484
20160415,586
20160416,587
20160417,416
20160418,466
20160419,526
20160420,552
20160421,732
20160422,787
20160423,1027
20160424,668
20160425,649
20160426,674
20160427,695
20160428,512
20160429,754
20160430,561
20160501,356
20160502,318
20160503,531
20160504,514
20160505,592
20160506,600
20160507,557
20160508,486
20160509,426
20160510,535
20160511,591
20160512,553
20160513,714
20160514,548
20160515,417
20160516,470
20160517,543
20160518,621
20160519,855
20160520,908
20160521,866
20160522,835
20160523,814
20160524,709
20160525,711
20160526,800
20160527,573
20160528,725
20160529,721
20160530,743
20160531,844
20160601,1202
20160602,1276
20160603,1029
20160604,859
20160605,820
20160606,833
20160607,862
20160608,809
20160609,726
20160610,590
20160611,499
20160612,744
20160613,638
20160614,652
20160615,750
20160616,768
20160617,781
20160618,647
20160619,595
20160620,565
20160621,738
20160622,734
20160623,717
20160624,738
20160625,671
20160626,635
20160627,762
20160628,874
20160629,1020
20160630,837
20160701,705
20160702,906
20160703,758
20160704,940
20160705,928
20160706,1025
20160707,955
20160708,1117
20160709,940
20160710,791
20160711,1062
20160712,1308
20160713,1738
20160714,1667
20160715,1409
20160716,822
20160717,674
20160718,882
20160719,1189
20160720,1002
20160721,873
20160722,1233
20160723,862
20160724,717
20160725,1082
20160726,929
20160727,1182
20160728,949
20160729,961
20160730,805
20160731,739
20160801,1114
20160802,866
20160803,922
20160804,1403
20160805,1027
20160806,831
20160807,776
20160808,828
20160809,841
20160810,927
20160811,1189
20160812,1088
20160813,802
20160814,708
20160815,922
20160816,926
20160817,967
20160818,967
20160819,960
20160820,863
20160821,793
20160822,925
20160823,930
20160824,921
20160825,946
20160826,931
20160827,749
20160828,746
20160829,830
20160830,957
20160831,1024
20160901,519
20160902,1457
20160903,1188
20160904,943
20160905,1099
20160906,1202
20160907,1272
20160908,1095
20160909,1033
20160910,994
20160911,879
20160912,1132
20160913,1117
20160914,1187
20160915,816
20160916,940
20160917,1051
20160918,1226
20160919,1347
20160920,1281
20160921,1419
20160922,1334
20160923,1482
20160924,1471
20160925,1279
20160926,1201
20160927,1127
20160928,1129
20160929,985
20160930,803
20161001,586
20161002,633
20161003,680
20161004,670
20161005,835
20161006,737
20161007,799
20161008,671
20161009,903
20161010,966
20161011,659
20161012,1034
20161013,1136
20161014,1141
20161015,990
20161016,925
20161017,877
20161018,1123
20161019,1192
20161020,1017
20161021,1015
20161022,794
20161023,834
20161024,985
20161025,869
20161026,941
20161027,1015
20161028,1167
20161029,1013
20161030,818
20161031,1064
20161101,923
20161102,959
20161103,1078
20161104,1036
20161105,950
20161106,1047
20161107,1211
20161108,1225
20161109,1187
20161110,1020
20161111,806
20161112,1055
20161113,925
20161114,1173
20161115,1039
20161116,1122
20161117,1131
20161118,1124
20161119,946
20161120,931
20161121,1205
20161122,1144
20161123,1147
20161124,990
20161125,1083
20161126,1007
20161127,919
20161128,1139
20161129,1167
20161130,1290
20161201,1379
20161202,1379
20161203,1231
20161204,1153
20161205,1499
20161206,1867
20161207,1668
20161208,1867
20161209,1965
20161210,1647
20161211,1675
20161212,1726
20161213,1775
20161214,1943
20161215,2264
20161216,3059
20161217,3200
20161218,2749
20161219,2612
20161220,2666
20161221,2715
20161222,2580
20161223,1927
20161224,4168
20161225,2423
20161226,2661
20161227,2668
20161228,2554
20161229,2721
20161230,2967
20161231,2569
20170101,2627
20170102,2944
20170103,3150
20170104,3435
20170105,3518
20170106,3190
20170107,2713
20170108,2591
20170109,2665
20170110,2637
20170111,2627
20170112,2253
20170113,2283
20170114,2058
20170115,1726
20170116,2002
20170117,2046
20170118,1871
20170119,1882
20170120,1634
20170121,1335
20170122,1191
20170123,1211
20170124,1135
20170125,994
20170126,727
20170127,537
20170128,488
20170129,532
20170130,596
20170131,585
20170201,769
20170202,866
20170203,1012
20170204,1893
20170205,2168
20170206,2969
20170207,2690
20170208,2715
20170209,2723
20170210,2792
20170211,2624
20170212,2620
20170213,2897
20170214,3276
20170215,3739
20170216,3836
20170217,4019
20170218,3407
20170219,3280
20170220,3818
20170221,3569
20170222,3632
20170223,3381
20170224,3384
20170225,3194
20170226,3043
20170227,3219
20170228,3620
20170301,3945
20170302,3984
20170303,3917
20170304,3872
20170305,3798
20170306,4236
20170307,4023
20170308,4173
20170309,4340
20170310,5788
20170311,5785
20170312,5553
20170313,5489
20170314,5440
20170315,5782
20170316,5496
20170317,5727
20170318,4885
20170319,4827
20170320,5057
20170321,4934
20170322,5036
20170323,4776
20170324,4807
20170325,4114
20170326,4170
20170327,4163
20170328,4219
20170329,4650
20170330,4351
20170331,4640
20170401,4602
20170402,3596
20170403,3304
20170404,2969
20170405,3990
20170406,3854
20170407,4535
20170408,5940
20170409,4333
20170410,4802
20170411,5060
20170412,4827
20170413,4784
20170414,4781
20170415,4239
20170416,4248
20170417,4793
20170418,4446
20170419,4395
20170420,4385
20170421,4611
20170422,4263
20170423,4366
20170424,4657
20170425,4392
20170426,4258
20170427,4376
20170428,3501
20170429,3064
20170430,2764
20170501,2817
20170502,3324
20170503,3728
20170504,3296
20170505,2434
20170506,4539
20170507,3359
20170508,3637
20170509,4049
20170510,4232
20170511,3675
20170512,3821
20170513,3313
20170514,2866
20170515,3348
20170516,3462
20170517,3700
20170518,3566
20170519,3597
20170520,3377
20170521,3520
20170522,3957
20170523,4030
20170524,4058
20170525,3672
20170526,4261
20170527,3463
20170528,3045
20170529,2812
20170530,2422
20170531,3240
20170601,3549
20170602,3987
20170603,3249
20170604,3389
20170605,3530
20170606,5000
20170607,4039
20170608,3632
20170609,2728
20170610,2793
20170611,1561
20170612,1959
20170613,1922
20170614,2004
20170615,2520
20170616,2152
20170617,1730
20170618,1436
20170619,2101
20170620,3182
20170621,2791
20170622,2941
20170623,1631
20170625,4375
20170626,4135
20170627,2439
20170628,2675
20170629,2668
20170630,3305
20170701,2164
20170702,2160
20170703,2697
20170704,2773
20170705,2632
20170706,2834
20170707,2891
20170708,2377
20170709,2229
20170710,2522
20170711,2729
20170712,2734
20170713,2586
20170714,2424
20170715,2197
20170716,1980
20170717,2625
20170718,2694
20170719,2482
20170720,1993
20170721,2913
20170722,1897
20170723,1705
20170724,2214
20170725,2454
20170726,2670
20170727,3531
20170728,3614
20170729,3000
20170730,2446
20170731,3068
20170801,3982
20170802,4459
20170803,5045
20170804,4922
20170805,3808
20170806,3778
20170807,3991
20170808,4186
20170809,4213
20170810,4052
20170811,4675
20170812,3780
20170813,3927
20170814,4951
20170815,4638
20170816,4820
20170817,4728
20170818,5110
20170819,4533
20170820,4402
20170821,5130
20170822,5219
20170823,4634
20170824,5044
20170825,4268
20170826,4019
20170827,3785
20170828,4544
20170829,4638
20170830,4642
20170831,4421
20170901,5027
20170902,4097
20170903,4189
20170904,4855
20170905,4883
20170906,5035
20170907,4554
20170908,4673
20170909,3860
20170910,3974
20170911,4625
20170912,5298
20170913,5899
20170914,5441
20170915,5377
20170916,4762
20170917,4585
20170918,5350
20170919,5813
20170920,6307
20170921,6295
20170922,6249
20170923,5122
20170924,4516
20170925,5013
20170926,5122
20170927,4811
20170928,4788
20170929,4813
20170930,4248
20171001,4212
20171002,4288
20171003,3871
20171004,3939
20171005,5258
20171006,5936
20171007,6456
20171008,6894
20171009,7210
20171010,7092
20171011,6859
20171012,6877
20171013,7170
20171014,6543
20171015,5889
20171016,6523
20171017,6282
20171018,6603
20171019,6453
20171020,6908
20171021,3924
20171022,5535
20171023,6879
20171024,6893
20171025,6954
20171026,7118
20171027,7327
20171028,6553
20171029,5811
20171030,6856
20171031,7082
20171101,6902
20171102,7324
20171103,8058
20171104,6327
20171105,6020
20171106,6936
20171107,6491
20171108,6551
